DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
						1	0	1	0																													#F989A2	None	None	None	497.6620674133301	text_02	4	1	Reading_Baseline_main_click	None	Forscher																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#D292F3	None	None	None	514.8959159851074	text_02	5	1	Reading_Baseline_main_click	None	Überreste																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#D292F3	None	None	None	450.49595832824707	text_02	6	1	Reading_Baseline_main_click	None	eines																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#88BA3F	None	None	None	847.6579189300537	text_02	7	1	Reading_Baseline_main_click	None	Urzeit-Krokodils																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#D292F3	None	None	None	580.7361602783203	text_02	8	1	Reading_Baseline_main_click	None	entdeckt.																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#88BA3F	None	None	None	548.7639904022217	text_02	9	1	Reading_Baseline_main_click	None	Es																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	431.2169551849365	text_02	10	1	Reading_Baseline_main_click	None	zeigt																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	732.5339317321777	text_02	11	1	Reading_Baseline_main_click	None	Ähnlichkeiten																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#F989A2	None	None	None	431.3697814941406	text_02	12	1	Reading_Baseline_main_click	None	zu																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#D292F3	None	None	None	548.1281280517578	text_02	13	1	Reading_Baseline_main_click	None	Säugetieren.																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#88BA3F	None	None	None	482.2719097137451	text_02	14	1	Reading_Baseline_main_click	None	Es																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
