blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,empty_placeholder.started,word,colour,target,nback_response,nback_RT,block_kind,duration,text_nr,block_nr,trial_nr,participant,age,handedness,gender,testing_mode,date,expName,psychopyVersion,frameRate,
0,0,0,0,,Reportern,#2AB7EF,None,None,None,None,0.1726817220041994,reading_bl_training_text,Reading_Baseline_training,101,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,interviewt,#88BA3F,None,None,None,None,0.16808167600538582,reading_bl_training_text,Reading_Baseline_training,102,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,und,#2AB7EF,None,None,None,None,0.17422592900402378,reading_bl_training_text,Reading_Baseline_training,103,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,photographiert,#D292F3,None,None,None,None,0.13385541200113948,reading_bl_training_text,Reading_Baseline_training,104,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,worden.,#F989A2,None,None,None,None,0.18570628300949465,reading_bl_training_text,Reading_Baseline_training,105,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Mein,#88BA3F,None,None,None,None,0.16452989999379497,reading_bl_training_text,Reading_Baseline_training,106,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Freund,#D292F3,None,None,None,None,0.1480476249998901,reading_bl_training_text,Reading_Baseline_training,107,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,blickte,#F989A2,None,None,None,None,0.1708993620122783,reading_bl_training_text,Reading_Baseline_training,108,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,hin,#2AB7EF,None,None,None,None,0.16387190400564577,reading_bl_training_text,Reading_Baseline_training,109,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,und,#88BA3F,None,None,None,None,0.15519561899418477,reading_bl_training_text,Reading_Baseline_training,110,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,lächelte.,#2AB7EF,None,None,None,None,0.16750855499412864,reading_bl_training_text,Reading_Baseline_training,111,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
